practice,count_trial_sequence,datetime,correct,display_size,distractor,response_time,isRandom,PARTICIPANT,RT,BLOCK
yes,0,11/30/17 15:38,0,5,present,2000.052697,blocked,3096,2000.052697,1p
yes,1,11/30/17 15:38,0,5,present,1286.042687,blocked,3096,1286.042687,1p
yes,2,11/30/17 15:38,0,5,present,537.0300666,blocked,3096,537.0300666,1p
yes,3,11/30/17 15:38,0,5,present,666.6725979,blocked,3096,666.6725979,1p
yes,4,11/30/17 15:38,1,5,present,1014.64764,blocked,3096,1014.64764,1p
yes,5,11/30/17 15:38,0,5,present,1054.482268,blocked,3096,1054.482268,1p
yes,6,11/30/17 15:38,1,5,present,708.3047322,blocked,3096,708.3047322,1p
yes,7,11/30/17 15:38,1,5,present,718.1915301,blocked,3096,718.1915301,1p
yes,8,11/30/17 15:38,1,5,present,845.9571678,blocked,3096,845.9571678,1p
yes,9,11/30/17 15:38,1,5,present,1058.289779,blocked,3096,1058.289779,1p
yes,10,11/30/17 15:38,1,5,present,681.624442,blocked,3096,681.624442,1p
yes,11,11/30/17 15:38,1,5,present,1231.896104,blocked,3096,1231.896104,1p
no,12,11/30/17 15:38,1,5,present,780.0489464,blocked,3096,780.0489464,1
no,13,11/30/17 15:38,1,5,present,657.2326958,blocked,3096,657.2326958,1
no,14,11/30/17 15:38,1,5,present,567.1907369,blocked,3096,567.1907369,1
no,15,11/30/17 15:38,0,5,present,810.0607655,blocked,3096,810.0607655,1
no,16,11/30/17 15:38,1,5,present,790.707375,blocked,3096,790.707375,1
no,17,11/30/17 15:38,1,5,present,800.6691117,blocked,3096,800.6691117,1
no,18,11/30/17 15:38,1,5,present,555.5707638,blocked,3096,555.5707638,1
no,19,11/30/17 15:38,1,5,present,642.4320982,blocked,3096,642.4320982,1
no,20,11/30/17 15:38,1,5,present,606.3471511,blocked,3096,606.3471511,1
no,21,11/30/17 15:38,1,5,present,804.1464121,blocked,3096,804.1464121,1
no,22,11/30/17 15:38,1,5,present,571.037941,blocked,3096,571.037941,1
no,23,11/30/17 15:38,1,5,present,630.9363389,blocked,3096,630.9363389,1
no,24,11/30/17 15:38,1,5,present,513.5670149,blocked,3096,513.5670149,1
no,25,11/30/17 15:38,1,5,present,519.5847086,blocked,3096,519.5847086,1
no,26,11/30/17 15:38,1,5,present,539.4332431,blocked,3096,539.4332431,1
no,27,11/30/17 15:38,1,5,present,578.0479759,blocked,3096,578.0479759,1
no,28,11/30/17 15:38,1,5,present,677.4610575,blocked,3096,677.4610575,1
no,29,11/30/17 15:38,1,5,present,677.779291,blocked,3096,677.779291,1
no,30,11/30/17 15:38,1,5,present,536.7973797,blocked,3096,536.7973797,1
no,31,11/30/17 15:38,1,5,present,537.6826164,blocked,3096,537.6826164,1
no,32,11/30/17 15:38,1,5,present,618.6881113,blocked,3096,618.6881113,1
no,33,11/30/17 15:38,1,5,present,579.3602616,blocked,3096,579.3602616,1
no,34,11/30/17 15:38,1,5,present,616.0447197,blocked,3096,616.0447197,1
no,35,11/30/17 15:38,1,5,present,871.0233638,blocked,3096,871.0233638,1
no,36,11/30/17 15:38,1,5,present,647.8088765,blocked,3096,647.8088765,1
no,37,11/30/17 15:38,1,5,present,721.7622474,blocked,3096,721.7622474,1
no,38,11/30/17 15:38,0,5,present,375.6733377,blocked,3096,375.6733377,1
no,39,11/30/17 15:38,1,5,present,510.3703075,blocked,3096,510.3703075,1
no,40,11/30/17 15:38,1,5,present,551.4528901,blocked,3096,551.4528901,1
no,41,11/30/17 15:38,1,5,present,575.9616642,blocked,3096,575.9616642,1
no,42,11/30/17 15:38,1,5,present,702.8136637,blocked,3096,702.8136637,1
no,43,11/30/17 15:38,1,5,present,564.9750786,blocked,3096,564.9750786,1
no,44,11/30/17 15:38,1,5,present,528.7672864,blocked,3096,528.7672864,1
no,45,11/30/17 15:38,1,5,present,527.6267784,blocked,3096,527.6267784,1
no,46,11/30/17 15:38,1,5,present,575.2263051,blocked,3096,575.2263051,1
no,47,11/30/17 15:38,1,5,present,864.1094833,blocked,3096,864.1094833,1
no,48,11/30/17 15:38,0,5,present,662.9745872,blocked,3096,662.9745872,1
no,49,11/30/17 15:38,0,5,present,635.0983547,blocked,3096,635.0983547,1
no,50,11/30/17 15:38,1,5,present,983.6978875,blocked,3096,983.6978875,1
no,51,11/30/17 15:38,1,5,present,603.6325847,blocked,3096,603.6325847,1
no,52,11/30/17 15:38,1,5,present,523.3121474,blocked,3096,523.3121474,1
no,53,11/30/17 15:38,1,5,present,625.4877015,blocked,3096,625.4877015,1
no,54,11/30/17 15:38,1,5,present,616.4632139,blocked,3096,616.4632139,1
no,55,11/30/17 15:38,1,5,present,593.6557917,blocked,3096,593.6557917,1
no,56,11/30/17 15:38,1,5,present,678.1426932,blocked,3096,678.1426932,1
no,57,11/30/17 15:38,1,5,present,604.7450333,blocked,3096,604.7450333,1
no,58,11/30/17 15:38,1,5,present,592.4273418,blocked,3096,592.4273418,1
no,59,11/30/17 15:38,1,5,present,520.2269929,blocked,3096,520.2269929,1
no,60,11/30/17 15:38,1,5,present,577.3413606,blocked,3096,577.3413606,1
no,61,11/30/17 15:38,1,5,present,645.019029,blocked,3096,645.019029,1
no,62,11/30/17 15:38,1,5,present,903.8318741,blocked,3096,903.8318741,1
no,63,11/30/17 15:38,1,5,present,608.8718039,blocked,3096,608.8718039,1
no,64,11/30/17 15:38,1,5,present,593.6013841,blocked,3096,593.6013841,1
no,65,11/30/17 15:38,1,5,present,683.7412084,blocked,3096,683.7412084,1
no,66,11/30/17 15:38,1,5,present,465.4815832,blocked,3096,465.4815832,1
no,67,11/30/17 15:38,1,5,present,604.4110592,blocked,3096,604.4110592,1
no,68,11/30/17 15:38,1,5,present,569.0987694,blocked,3096,569.0987694,1
no,69,11/30/17 15:38,1,5,present,639.0081789,blocked,3096,639.0081789,1
no,70,11/30/17 15:38,1,5,present,537.0529931,blocked,3096,537.0529931,1
no,71,11/30/17 15:38,1,5,present,544.7022326,blocked,3096,544.7022326,1
no,72,11/30/17 15:38,1,5,present,535.9391756,blocked,3096,535.9391756,1
no,73,11/30/17 15:38,1,5,present,806.4301655,blocked,3096,806.4301655,1
no,74,11/30/17 15:38,1,5,present,565.4079446,blocked,3096,565.4079446,1
no,75,11/30/17 15:38,1,5,present,751.2228039,blocked,3096,751.2228039,1
no,76,11/30/17 15:38,1,5,present,505.1239023,blocked,3096,505.1239023,1
no,77,11/30/17 15:38,1,5,present,729.9767792,blocked,3096,729.9767792,1
no,78,11/30/17 15:38,1,5,present,543.6636963,blocked,3096,543.6636963,1
no,79,11/30/17 15:38,1,5,present,641.8312185,blocked,3096,641.8312185,1
no,80,11/30/17 15:38,1,5,present,743.8281511,blocked,3096,743.8281511,1
no,81,11/30/17 15:38,1,5,present,542.34662,blocked,3096,542.34662,1
no,82,11/30/17 15:38,1,5,present,550.229573,blocked,3096,550.229573,1
no,83,11/30/17 15:38,1,5,present,709.6474725,blocked,3096,709.6474725,1
no,84,11/30/17 15:38,1,5,present,508.0478869,blocked,3096,508.0478869,1
no,85,11/30/17 15:38,1,5,present,702.6360688,blocked,3096,702.6360688,1
no,86,11/30/17 15:38,1,5,present,638.5239849,blocked,3096,638.5239849,1
no,87,11/30/17 15:38,1,5,present,494.46958,blocked,3096,494.46958,1
no,88,11/30/17 15:38,1,5,present,555.684712,blocked,3096,555.684712,1
no,89,11/30/17 15:38,0,5,present,490.147763,blocked,3096,490.147763,1
no,90,11/30/17 15:38,1,5,present,894.2622833,blocked,3096,894.2622833,1
no,91,11/30/17 15:38,1,5,present,680.2095003,blocked,3096,680.2095003,1
no,92,11/30/17 15:38,1,5,present,637.63122,blocked,3096,637.63122,1
no,93,11/30/17 15:38,1,5,present,609.8063155,blocked,3096,609.8063155,1
no,94,11/30/17 15:38,1,5,present,1201.295382,blocked,3096,1201.295382,1
no,95,11/30/17 15:38,1,5,present,667.4418334,blocked,3096,667.4418334,1
no,96,11/30/17 15:38,1,5,present,518.7586702,blocked,3096,518.7586702,1
no,97,11/30/17 15:38,1,5,present,637.284585,blocked,3096,637.284585,1
no,98,11/30/17 15:38,1,5,present,540.6096807,blocked,3096,540.6096807,1
no,99,11/30/17 15:38,1,5,present,854.975496,blocked,3096,854.975496,1
no,100,11/30/17 15:38,1,5,present,785.2662657,blocked,3096,785.2662657,1
no,101,11/30/17 15:38,1,5,present,583.3700043,blocked,3096,583.3700043,1
no,102,11/30/17 15:38,1,5,present,680.4428716,blocked,3096,680.4428716,1
no,103,11/30/17 15:38,1,5,present,557.2645876,blocked,3096,557.2645876,1
no,104,11/30/17 15:38,1,5,present,602.6792527,blocked,3096,602.6792527,1
no,105,11/30/17 15:38,1,5,present,736.4543718,blocked,3096,736.4543718,1
no,106,11/30/17 15:38,1,5,present,699.4362818,blocked,3096,699.4362818,1
no,107,11/30/17 15:38,1,5,present,639.3394156,blocked,3096,639.3394156,1
no,108,11/30/17 15:38,1,5,present,760.4450753,blocked,3096,760.4450753,1
no,109,11/30/17 15:38,1,5,present,577.1370752,blocked,3096,577.1370752,1
no,110,11/30/17 15:38,0,5,present,545.0680301,blocked,3096,545.0680301,1
no,111,11/30/17 15:38,1,5,present,1358.912695,blocked,3096,1358.912695,1
yes,112,11/30/17 15:38,1,9,present,797.1716223,blocked,3096,797.1716223,2p
yes,113,11/30/17 15:38,1,9,present,483.7783014,blocked,3096,483.7783014,2p
yes,114,11/30/17 15:38,1,9,present,424.7292106,blocked,3096,424.7292106,2p
yes,115,11/30/17 15:38,1,9,present,526.8811538,blocked,3096,526.8811538,2p
yes,116,11/30/17 15:38,1,9,present,535.1316152,blocked,3096,535.1316152,2p
yes,117,11/30/17 15:38,1,9,present,557.2156549,blocked,3096,557.2156549,2p
yes,118,11/30/17 15:38,1,9,present,441.0621199,blocked,3096,441.0621199,2p
yes,119,11/30/17 15:38,1,9,present,517.4539126,blocked,3096,517.4539126,2p
yes,120,11/30/17 15:38,1,9,present,504.646552,blocked,3096,504.646552,2p
yes,121,11/30/17 15:38,1,9,present,549.9938064,blocked,3096,549.9938064,2p
